"ID","Severidad","Perspectiva","Área","Momento del recorrido","Título","Hallazgo","Tipo de evidencia","Evidencia / archivo","Impacto para el usuario","Causa técnica probable","Corrección requerida","Prueba de aceptación","Fase","Estado"
"WSP-001","P0","Técnica / producto","Arquitectura","Transversal","Monolito principal excesivo","workspace.js supera aproximadamente 5,400 líneas y concentra navegación, renderizado, OCR, documentos, tablas, diseño y coordinación.","Registros, pruebas o arquitectura","Los registros describen workspace.js con ~5,415 líneas y advierten que no debe regenerarse con el script existente.","Cambios pequeños pueden romper módulos no relacionados; dificulta pruebas, revisión y recuperación.","","Separar por dominios: shell, proyectos, captura, OCR, documentos, datos, query, diseño, dashboards, flujos y exportación.","Separar por dominios: shell, proyectos, captura, OCR, documentos, datos, query, diseño, dashboards, flujos y exportación.","Por priorizar","Abierto"
"WSP-002","P0","Técnica / producto","Build","Transversal","Divergencia entre source y dist","Se documentó que archivos de dist estaban desactualizados respecto a source; pdf-generator.js tenía 133 líneas frente a 283.","Registros, pruebas o arquitectura","El flujo E2E necesitó sincronización manual de 11 archivos core; dist está ignorado por Git.","La versión probada localmente puede no coincidir con la versión publicada.","","Crear un build determinista que siempre regenere dist desde source y una prueba byte/hash de sincronización.","Crear un build determinista que siempre regenere dist desde source y una prueba byte/hash de sincronización.","Por priorizar","Resuelto"
"WSP-003","P0","Técnica / producto","Build","Transversal","Generador de workspace inseguro","Existe una advertencia explícita de no regenerar workspace.js con scripts/build-workspace-js.mjs.","Registros, pruebas o arquitectura","Los registros indican que el archivo principal no debe ser regenerado por ese script.","Un build o desarrollador puede sobrescribir correcciones y restaurar código antiguo.","","Eliminar, reparar o bloquear el generador; añadir una prueba que falle si la salida difiere del source canónico.","Eliminar, reparar o bloquear el generador; añadir una prueba que falle si la salida difiere del source canónico.","Por priorizar","Resuelto"
"WSP-011","P0","Técnica / producto","Persistencia","Transversal","Migraciones de IndexedDB no demostradas","La base toolisto-workspace está en versión 3 con ocho stores, pero no hay evidencia de migraciones desde versiones anteriores.","Registros, pruebas o arquitectura","Inventario de DB: projects, documents, data, captures, settings, assets, executions, workflows.","Una actualización puede dejar proyectos inaccesibles o parcialmente migrados.","","Fixtures de DB v1/v2/v3, migración transaccional, copia previa y rollback.","Fixtures de DB v1/v2/v3, migración transaccional, copia previa y rollback.","Por priorizar","Resuelto"
"WSP-012","P0","Técnica / producto","Persistencia","Transversal","Integridad referencial manual","El E2E comprueba que existen nueve relaciones, pero no demuestra restricciones al borrar o importar objetos.","Registros, pruebas o arquitectura","Prueba Star-Flow verifica Relations exist.","Activos huérfanos, documentos sin proyecto y resultados asociados a IDs eliminados.","","Índices y validación de relaciones; cascadas explícitas; auditor de huérfanos.","Índices y validación de relaciones; cascadas explícitas; auditor de huérfanos.","Por priorizar","Resuelto"
"WSP-013","P0","Técnica / producto","Importación","Transversal","Importación sin prueba de rollback completo","La importación .toolisto se valida en un caso feliz con remapeo de IDs.","Registros, pruebas o arquitectura","E2E: import succeeded, project ID changed y no old IDs.","Un bundle corrupto puede dejar datos parciales.","","Importar en staging, validar todo, aplicar en una única transacción y revertir ante cualquier error.","Importar en staging, validar todo, aplicar en una única transacción y revertir ante cualquier error.","Por priorizar","Resuelto"
"WSP-014","P0","Técnica / producto","Importación","Transversal","Formato .toolisto sin contrato visible de versión y checksum","El bundle contiene proyectos, documentos, datos, activos, ejecuciones y capturas, pero no se evidencia manifiesto firmado o checksum.","Registros, pruebas o arquitectura","Prueba de exportación enumera contenidos.","Corrupción silenciosa e incompatibilidad entre versiones.","","Manifest con schemaVersion, appVersion, checksums, tamaños, conteos y compatibilidad mínima/máxima.","Manifest con schemaVersion, appVersion, checksums, tamaños, conteos y compatibilidad mínima/máxima.","Por priorizar","Resuelto"
"WSP-015","P0","Técnica / producto","Seguridad","Transversal","Importación no sometida a casos maliciosos","No se observan pruebas de ZIP bomb, archivos enormes, rutas, HTML/SVG activo o nesting excesivo.","Registros, pruebas o arquitectura","La prueba actual solo importa un fixture generado por la misma aplicación.","Bloqueo del navegador, agotamiento de almacenamiento o inyección persistente.","","Límites de descompresión, sanitización, profundidad máxima y corpus adversarial.","Límites de descompresión, sanitización, profundidad máxima y corpus adversarial.","Por priorizar","Resuelto"
"WSP-021","P0","Técnica / producto","Seguridad","Transversal","Uso de innerHTML pendiente","La suite estructural mantiene un fallo preexistente relacionado con innerHTML.","Registros, pruebas o arquitectura","workspace-test reportó 155/156 con un fallo innerHTML.","XSS persistente al importar, pegar o renderizar datos.","","Eliminar HTML no confiable, usar DOM APIs/sanitizador y hacer que la prueba sea obligatoria.","Eliminar HTML no confiable, usar DOM APIs/sanitizador y hacer que la prueba sea obligatoria.","Por priorizar","Parcial"
"WSP-022","P0","Técnica / producto","Seguridad","Transversal","Sanitización SVG insuficientemente general","El E2E valida que un gráfico específico no contiene script, eventos ni javascript:, pero no cubre SVG importado o atributos complejos.","Registros, pruebas o arquitectura","Step 18 del Star-Flow.","SVG malicioso puede ejecutar contenido o filtrar datos.","","Sanitizador de allowlist para todos los SVG, bloqueo de foreignObject, URLs externas y estilos peligrosos.","Sanitizador de allowlist para todos los SVG, bloqueo de foreignObject, URLs externas y estilos peligrosos.","Por priorizar","Abierto"
