toolId,enabled,indexable,slug,matrizEstado,matrizPublicar,matrizResolucion,conHarnessE2E,detalle,estadoReal
compress,compress,si,si,comprimir-imagen,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
crop,crop,si,si,redimensionar-imagen,certified,Sí,enabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
convert,convert,si,si,convertir-imagen,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
batchCompress,batchCompress,si,si,comprimir-imagenes,certified,Sí,enabled,no,no hay harness E2E dedicado en TLT-certify-*.json,PUBLICADA SIN CERTIFICACION FUNCIONAL (solo checks estructurales)
stripMetadata,stripMetadata,si,si,eliminar-metadatos-de-imagen,certified,Sí,enabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
socialCrop,socialCrop,si,si,recortar-imagen-para-redes-sociales,certified,Sí,enabled,si,TLT-certify-image-family-evidence.json,CERTIFICADA (harness funcional real)
removeObjects,removeObjects,si,si,borrar-objetos-de-imagen,certified,Sí,enabled,si,TLT-certify-image-interactive-evidence.json,CERTIFICADA (harness funcional real)
signature,signature,si,si,limpiar-firma,certified,Sí,enabled,si,TLT-certify-image-interactive-evidence.json,CERTIFICADA (harness funcional real)
mergePdf,mergePdf,si,si,unir-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
imagesPdf,imagesPdf,si,si,imagenes-a-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
splitPdf,splitPdf,si,si,dividir-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
reorderPdf,reorderPdf,si,si,organizar-pdf,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
pdfToImages,pdfToImages,si,si,pdf-a-imagenes,rebuild,No,disabled,si,TLT-certify-pdf-family-evidence.json,CERTIFICADA (harness funcional real)
