toolId,Estado propuesto,Publicar ahora,Resolución,Motivo,Criterio para activar,Nota,Requiere verificación contra HEAD
compress,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Compresion JPEG/PNG con control de calidad por la UI real. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
crop,certified,Sí,enabled,Vista previa con marco de recorte arrastrable y zoom/offset reflejados en tiempo real; dimensiones exactas de salida.,"Preview con marco y rejilla, arrastre reposiciona el recorte, presets y formato de salida, dimensiones exactas verificables.",Verificado por harness tests/verify-image-family.mjs (2026-08-04). Certificada por harness: image-family-evidence.,No
convert,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Conversion directa JPEG/PNG/WebP por la UI real. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
batchCompress,certified,Sí,enabled,Herramienta de alcance limitado que puede certificarse sin promesas de fidelidad no demostradas.,"Procesa un fixture real, genera archivo no vacío, se reabre y conserva la semántica prometida.","Compresion por lote con salida ZIP. Certificada por harness tests/gate-e2e-image-converters.mjs (2026-08-10): 87/87 (descarga con magic correcto, salida reabierta y verificada, batchCompress ZIP, sin red externa, cero errores de consola). Evidencia: TLT-certify-image-converters-evidence.json.",No
stripMetadata,certified,Sí,enabled,Re-codificación honesta: elimina todos los metadatos a la vez (EXIF/XMP/IPTC). auto conserva el formato original y JPG ya no se convierte a WebP en silencio.,"auto conserva formato original, selección JPG respetada con fondo blanco, mensaje claro de recodificación total, sin categorías decorativas.",Verificado por harness tests/verify-image-family.mjs (2026-08-04). Certificada por harness: image-family-evidence.,No
socialCrop,certified,Sí,enabled,"Editor visual con zoom, rotación, volteo y arrastre; la descarga respeta exactamente la vista previa (zoom aplicado en la salida).","Vista previa interactiva, presets de plataforma, recorte circular, zoom/offset/flips/rotación reflejados en la descarga.",Verificado por harness tests/verify-image-family.mjs (2026-08-04). Certificada por harness: image-family-evidence.,No
removeObjects,certified,Sí,enabled,Verificada por harness tests/gate-e2e-image-tools.mjs (2026-08-05): pincel real sobre zona roja en fondo azul → inpainting por difusión; el centro pasa de rojo a azul y el fondo se preserva; salida PNG 200x100; 21/21 en la suite.,"Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-interactive-evidence.,No
signature,certified,Sí,enabled,"Verificada por harness tests/gate-e2e-image-tools.mjs (2026-08-05): umbral, suavidad y recorte; PNG 200x100 blanco con tinta negra → 96x86 con tinta #173b62 opaca y fondo transparente verificado por píxeles; 21/21 en la suite.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-interactive-evidence.,No
mergePdf,certified,Sí,enabled,"Necesita workspace de páginas, motor no soportado, OCR revisable o validación de seguridad.","Vista de páginas legible, controles móviles/teclado, historial y validación semántica del PDF reabierto.",Certificada por harness: pdf-family-evidence.,No
imagesPdf,certified,Sí,enabled,"Necesita editor visual, comparación, corrección manual, seguridad de censura o validación de salida.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: pdf-family-evidence.,No
splitPdf,certified,Sí,enabled,"Necesita workspace de páginas, motor no soportado, OCR revisable o validación de seguridad.","Vista de páginas legible, controles móviles/teclado, historial y validación semántica del PDF reabierto.",Certificada por harness: pdf-family-evidence.,No
reorderPdf,certified,Sí,enabled,"Necesita workspace de páginas, motor no soportado, OCR revisable o validación de seguridad.","Vista de páginas legible, controles móviles/teclado, historial y validación semántica del PDF reabierto.",Certificada por harness: pdf-family-evidence.,No
pdfToImages,certified,Sí,enabled,"Necesita workspace de páginas, motor no soportado, OCR revisable o validación de seguridad.","Vista de páginas legible, controles móviles/teclado, historial y validación semántica del PDF reabierto.",Certificada por harness: pdf-family-evidence.,No
signPdf,certified,Sí,enabled,"Necesita workspace de páginas, motor no soportado, OCR revisable o validación de seguridad.","Vista de páginas legible, controles móviles/teclado, historial y validación semántica del PDF reabierto.",Certificada por harness: pdf-family-evidence.,No
docPhoto,certified,Sí,enabled,"Necesita editor visual, comparación, corrección manual, seguridad de censura o validación de salida.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-family-evidence.,No
censor,certified,Sí,enabled,"Necesita editor visual, comparación, corrección manual, seguridad de censura o validación de salida.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-family-evidence.,No
fixFormat,certified,Sí,enabled,"Necesita editor visual, comparación, corrección manual, seguridad de censura o validación de salida.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-family-evidence.,No
rescueDoc,certified,Sí,enabled,"Necesita editor visual, comparación, corrección manual, seguridad de censura o validación de salida.","Editor visual accesible, móvil, deshacer/rehacer, vista previa fiel y reapertura del resultado.",Certificada por harness: image-family-evidence.,No
fileCompliance,certified,Sí,enabled,"Validación aprobado/incumplimiento con badges (sin emojis como iconos) y ajuste iterativo de peso, dimensiones y formato.","Analizar lista checks, badge Cumple/No cumple, descarga <= maxKB cuando es alcanzable, mensaje con requisitos pendientes, sin emojis.",Verificado por harness tests/verify-image-family.mjs (2026-08-04). Certificada por harness: image-family-evidence.,No
